,Variable Name,Description,Source
1,birthyear_bg,"Birth year, based on gebjaar in the LISS Archive",Focal person data
2,partner_birth_year20,"Presumed birthyear of 2020 partner, constructed using partner’s birthyear_bg and coalescing cf[08a--20m]026",Focal person data and partner data
3,partner_birth_year19,"Presumed birthyear of 2019 partner, coalescing cf[08a--19l]026",Focal person data
4,partner_birth_year18,"Presumed birthyear of 2018 partner, coalescing cf[08a--18k]026",Focal person data
5,gender_bg,"Gender, based on geslacht in the LISS Archive",Focal person data
6,belbezig_2020,"Primary occupation (example values: paid employment, takes care of the housekeeping), based on belbezig in the LISS Archive",Focal person data
7,hhinc_per_capita20,"Household income per capita, constructed based on household income nettohh_f and household size aantalhh in the LISS Archive. ",Focal person data
8,migration_background_bg,"Migration background (example values: western immigrant, nonwestern immigrant), based on herkomstgroep in the LISS Archive",Focal person data
9,nettohh_f_2020,"Household net monthly income, based on nettoink_f of household members.",Focal person data
10,nettoink_f_2020,"Personal net monthly income, based on nettoink_f in the LISS Archive, involves values imputed by LISS ",Focal person data
11,oplmet_2020,"Highest level of education with diploma, based on oplmet in the LISS Archive",Focal person data
12,sted_2020,"Degree of urban character of place of residence, based on sted in the LISS Archive",Focal person data
13,woning_2020,"Type of dwelling (example values: self-owned, rented), based on woning in the LISS Archive",Focal person data
14,ca20g012,"Total balance in bank accounts, augmented with categorical information from ca20g013 and ca20g078",Focal person data
15,cd20m034,Number of rooms in dwelling,Focal person data
16,cf20m024,Have a partner in 2020,Focal person data
17,cf19l024,Have a partner in 2019,Focal person data
18,cf18k024,Have a partner in 2018,Focal person data
19,cf20m025,Cohabiting with partner in 2020,Focal person data
20,cf19l025,Cohabiting with partner in 2019,Focal person data
21,cf18k025,Cohabiting with partner in 2018,Focal person data
22,cf20m029,In what year did you start living together with your partner? 2020,Focal person data
23,cf19l029,In what year did you start living together with your partner? 2019,Focal person data
24,cf18k029,In what year did you start living together with your partner? 2018,Focal person data
25,cf20m030,Are you married to this partner? 2020,Focal person data
26,cf19l030,Are you married to this partner? 2019,Focal person data
27,cf18k030,Are you married to this partner? 2018,Focal person data
28,cf20m031,In what year did you marry? 2020,Focal person data
29,cf19l031,In what year did you marry? 2019,Focal person data
30,cf18k031,In what year did you marry? 2018,Focal person data
